id,city,number_of_rooms,area,price,years_of_construction,have_balcony,have_garage,rating,category
0,Marseille,2,65,260363,2016,1,0,3.3999999999999995,medium
1,Paris,1,44,456247,2006,0,0,2.9000000000000004,medium
2,Lyon,2,51,283930,2020,0,0,3.5,medium
3,Marseille,3,139,621873,2023,1,1,4.199999999999999,medium
4,Paris,1,51,533622,2005,0,0,2.9000000000000004,medium
5,Paris,2,76,1048625,2011,1,0,4.3,high
6,Marseille,3,132,510988,2016,1,0,3.6999999999999993,medium
7,Paris,1,27,411401,2019,0,0,3.7,high
8,Paris,2,88,931856,2018,0,0,3.8,medium
9,Paris,1,87,1287519,2021,0,0,4.0,high
10,Paris,2,56,550841,2014,0,0,3.5,medium
11,Lyon,2,70,420515,2009,0,0,3.7,high
12,Paris,1,65,682485,2019,1,0,3.8,medium
13,Paris,2,50,553275,2015,0,0,3.5,medium
14,Marseille,2,114,435967,2011,1,0,3.3999999999999995,medium
15,Lyon,2,69,431372,2018,0,0,4.0,high
16,Lyon,1,91,365547,2007,1,1,2.9000000000000004,low
17,Marseille,1,60,150268,2017,0,0,2.3,low
18,Paris,1,42,391626,2007,0,0,2.9000000000000004,medium
19,Marseille,1,60,312127,2021,0,0,3.3,high
20,Lyon,2,50,189120,2006,1,0,2.7,low
21,Paris,1,60,902812,2024,1,0,4.3,high
22,Marseille,1,60,291030,2012,1,0,3.3,high
23,Marseille,3,180,457997,2012,1,0,2.8999999999999995,low
24,Paris,2,56,623052,2005,0,0,3.7,high
25,Lyon,2,58,377450,2020,1,0,4.3,high
26,Marseille,2,81,270256,2019,1,0,3.3999999999999995,medium
27,Paris,1,48,504544,2022,0,0,3.5,medium
28,Marseille,3,128,615594,2014,1,1,3.8999999999999995,medium
29,Lyon,1,68,447636,2019,0,0,3.7,high
30,Lyon,1,61,426104,2023,0,0,3.7,high
31,Paris,1,83,922769,2016,0,0,4.0,high
32,Marseille,3,106,559256,2018,1,1,4.199999999999999,medium
33,Lyon,2,133,612391,2008,1,1,3.8,low
34,Lyon,2,101,463177,2023,1,1,4.1,low
35,Paris,2,64,725887,2010,0,0,4.0,high
36,Paris,1,42,439085,2005,0,0,2.9000000000000004,medium
37,Marseille,2,60,332745,2012,1,0,3.5999999999999996,high
38,Lyon,1,54,332421,2018,0,0,3.7,high
39,Lyon,1,74,375142,2016,1,0,3.5,medium
40,Marseille,3,110,429780,2018,1,1,4.199999999999999,medium
41,Marseille,1,77,321345,2020,1,0,3.0999999999999996,medium
42,Paris,1,81,806452,2005,0,1,3.4000000000000004,medium
43,Paris,1,69,721173,2021,0,0,3.5,medium
44,Marseille,3,114,585940,2012,1,1,3.8999999999999995,medium
45,Marseille,2,87,310050,2016,1,0,3.3999999999999995,medium
46,Marseille,2,82,515346,2023,1,0,3.8999999999999995,high
47,Lyon,1,69,550011,2023,1,0,4.0,high
48,Paris,2,76,650872,2011,1,0,3.8,medium
49,Marseille,3,100,515859,2006,1,0,3.3,high
50,Lyon,2,77,351622,2014,1,0,3.5,medium
51,Lyon,2,53,260892,2010,1,0,3.5,medium
52,Lyon,1,76,351534,2016,1,0,3.5,medium
53,Lyon,2,61,370922,2022,0,0,4.0,high
54,Paris,1,70,1006922,2016,0,0,4.0,high
55,Lyon,1,50,208602,2016,0,0,3.2,medium
56,Paris,1,41,564518,2017,0,0,4.0,high
57,Paris,1,26,354521,2024,0,0,3.7,high
58,Paris,1,76,701319,2010,0,0,3.2,medium
59,Lyon,1,84,232622,2005,1,0,2.4000000000000004,low
60,Paris,2,84,851651,2007,1,0,3.5,medium
61,Paris,1,60,742718,2015,0,0,3.7,high
62,Marseille,2,105,432852,2008,1,1,3.8999999999999995,medium
63,Paris,1,44,412875,2008,0,0,3.2,medium
64,Lyon,2,50,381982,2020,0,0,4.0,high
65,Marseille,2,121,199186,2010,1,0,2.8999999999999995,low
66,Paris,1,30,342888,2008,0,0,3.4000000000000004,high
67,Marseille,2,87,386703,2018,1,0,3.3999999999999995,medium
