id,city,price,area,years_of_construction,number_of_rooms,have_balcony,have_garage,rating,category
0,Marseille,260363,65,2016,2,1,0,3.3999999999999995,medium
1,Paris,456247,44,2006,1,0,0,2.9000000000000004,medium
2,Lyon,283930,51,2020,2,0,0,3.5,medium
3,Marseille,621873,139,2023,3,1,1,4.199999999999999,medium
4,Paris,533622,51,2005,1,0,0,2.9000000000000004,medium
5,Paris,1048625,76,2011,2,1,0,4.3,high
6,Marseille,510988,132,2016,3,1,0,3.6999999999999993,medium
7,Paris,411401,27,2019,1,0,0,3.7,high
8,Paris,931856,88,2018,2,0,0,3.8,medium
9,Paris,1287519,87,2021,1,0,0,4.0,high
10,Paris,550841,56,2014,2,0,0,3.5,medium
11,Lyon,420515,70,2009,2,0,0,3.7,high
12,Paris,682485,65,2019,1,1,0,3.8,medium
13,Paris,553275,50,2015,2,0,0,3.5,medium
14,Marseille,435967,114,2011,2,1,0,3.3999999999999995,medium
15,Lyon,431372,69,2018,2,0,0,4.0,high
16,Lyon,365547,91,2007,1,1,1,2.9000000000000004,low
17,Marseille,150268,60,2017,1,0,0,2.3,low
18,Paris,391626,42,2007,1,0,0,2.9000000000000004,medium
19,Marseille,312127,60,2021,1,0,0,3.3,high
20,Lyon,189120,50,2006,2,1,0,2.7,low
21,Paris,902812,60,2024,1,1,0,4.3,high
22,Marseille,291030,60,2012,1,1,0,3.3,high
23,Marseille,457997,180,2012,3,1,0,2.8999999999999995,low
24,Paris,623052,56,2005,2,0,0,3.7,high
25,Lyon,377450,58,2020,2,1,0,4.3,high
26,Marseille,270256,81,2019,2,1,0,3.3999999999999995,medium
27,Paris,504544,48,2022,1,0,0,3.5,medium
28,Marseille,615594,128,2014,3,1,1,3.8999999999999995,medium
29,Lyon,447636,68,2019,1,0,0,3.7,high
30,Lyon,426104,61,2023,1,0,0,3.7,high
31,Paris,922769,83,2016,1,0,0,4.0,high
32,Marseille,559256,106,2018,3,1,1,4.199999999999999,medium
33,Lyon,612391,133,2008,2,1,1,3.8,low
34,Lyon,463177,101,2023,2,1,1,4.1,low
35,Paris,725887,64,2010,2,0,0,4.0,high
36,Paris,439085,42,2005,1,0,0,2.9000000000000004,medium
37,Marseille,332745,60,2012,2,1,0,3.5999999999999996,high
38,Lyon,332421,54,2018,1,0,0,3.7,high
39,Lyon,375142,74,2016,1,1,0,3.5,medium
40,Marseille,429780,110,2018,3,1,1,4.199999999999999,medium
41,Marseille,321345,77,2020,1,1,0,3.0999999999999996,medium
42,Paris,806452,81,2005,1,0,1,3.4000000000000004,medium
43,Paris,721173,69,2021,1,0,0,3.5,medium
44,Marseille,585940,114,2012,3,1,1,3.8999999999999995,medium
45,Marseille,310050,87,2016,2,1,0,3.3999999999999995,medium
46,Marseille,515346,82,2023,2,1,0,3.8999999999999995,high
47,Lyon,550011,69,2023,1,1,0,4.0,high
48,Paris,650872,76,2011,2,1,0,3.8,medium
49,Marseille,515859,100,2006,3,1,0,3.3,high
50,Lyon,351622,77,2014,2,1,0,3.5,medium
51,Lyon,260892,53,2010,2,1,0,3.5,medium
52,Lyon,351534,76,2016,1,1,0,3.5,medium
53,Lyon,370922,61,2022,2,0,0,4.0,high
54,Paris,1006922,70,2016,1,0,0,4.0,high
55,Lyon,208602,50,2016,1,0,0,3.2,medium
56,Paris,564518,41,2017,1,0,0,4.0,high
57,Paris,354521,26,2024,1,0,0,3.7,high
58,Paris,701319,76,2010,1,0,0,3.2,medium
59,Lyon,232622,84,2005,1,1,0,2.4000000000000004,low
60,Paris,851651,84,2007,2,1,0,3.5,medium
61,Paris,742718,60,2015,1,0,0,3.7,high
62,Marseille,432852,105,2008,2,1,1,3.8999999999999995,medium
63,Paris,412875,44,2008,1,0,0,3.2,medium
64,Lyon,381982,50,2020,2,0,0,4.0,high
65,Marseille,199186,121,2010,2,1,0,2.8999999999999995,low
66,Paris,342888,30,2008,1,0,0,3.4000000000000004,high
67,Marseille,386703,87,2018,2,1,0,3.3999999999999995,medium
68,Marseille,635501,119,2019,2,0,0,3.8999999999999995,high
69,Lyon,676765,109,2023,3,1,1,4.6,medium
70,Paris,1074114,79,2019,2,1,0,4.6,high
71,Paris,884165,73,2020,2,0,0,4.3,high
72,Lyon,366096,65,2023,1,0,0,3.2,medium
73,Lyon,538866,64,2017,2,1,0,4.3,high
74,Paris,519525,46,2024,1,0,0,4.0,high
75,Paris,684379,50,2018,2,0,0,4.3,high
76,Lyon,1111497,134,2023,3,0,1,4.8,high
77,Lyon,435529,63,2024,2,1,0,4.3,high
78,Marseille,422053,94,2006,1,1,0,2.5,medium
79,Marseille,315034,74,2011,1,1,0,2.8,medium
80,Marseille,711051,158,2005,3,1,0,3.0999999999999996,medium
81,Paris,908478,74,2014,2,0,0,4.0,high
82,Lyon,1079862,125,2023,3,1,0,4.6,high
83,Lyon,638182,83,2020,2,0,1,4.5,high
84,Marseille,242659,60,2010,1,1,0,2.8,medium
85,Paris,634809,74,2005,2,0,0,3.2,medium
86,Marseille,477952,86,2021,2,1,0,3.8999999999999995,high
87,Lyon,437932,62,2010,1,0,0,3.4000000000000004,high
88,Lyon,290465,50,2007,2,1,0,3.2,medium
89,Paris,465962,50,2013,1,0,0,3.2,medium
90,Lyon,716949,132,2010,3,1,1,4.3,medium
91,Marseille,340895,89,2022,1,1,0,3.0999999999999996,medium
92,Lyon,356790,79,2019,1,1,0,3.5,medium
93,Paris,625380,59,2008,2,0,0,3.5,medium
94,Marseille,259607,85,2020,1,1,1,3.0999999999999996,low
95,Paris,592845,46,2023,1,0,0,4.0,high
96,Marseille,340459,83,2014,2,0,0,2.8,medium
97,Paris,566185,65,2012,1,0,0,3.2,medium
98,Paris,690351,79,2011,1,0,0,3.2,medium
99,Paris,483798,55,2011,1,1,0,3.5,medium
100,Lyon,604314,94,2017,1,0,1,3.7,medium
101,Marseille,279304,79,2022,2,1,0,3.3999999999999995,medium
102,Marseille,547954,165,2017,3,0,0,3.3999999999999995,medium
103,Marseille,248530,60,2006,2,0,0,2.5,medium
104,Marseille,372888,115,2007,3,1,0,3.0999999999999996,medium
105,Paris,567383,56,2014,2,1,0,3.8,medium
106,Paris,327122,47,2009,1,0,0,2.7,low
107,Paris,856306,87,2014,1,0,0,3.2,medium
108,Paris,613663,66,2005,2,1,0,3.5,medium
109,Lyon,404482,50,2019,2,0,0,4.0,high
110,Lyon,449052,87,2008,2,1,0,3.5,medium
111,Paris,475724,47,2016,1,0,0,3.5,medium
112,Lyon,393667,84,2021,2,0,1,4.0,medium
113,Lyon,286624,50,2016,1,0,0,3.2,medium
114,Marseille,601400,98,2023,1,1,1,4.1,high
115,Lyon,429251,92,2007,1,1,1,2.9000000000000004,low
116,Lyon,339204,57,2021,2,0,0,4.0,high
117,Paris,518339,44,2010,1,0,0,3.7,high
118,Marseille,442682,80,2023,2,1,0,3.8999999999999995,high
119,Paris,583440,47,2022,1,0,0,4.0,high
120,Paris,602362,54,2006,2,0,0,3.7,high
121,Marseille,419844,130,2019,3,1,0,3.6999999999999993,medium
122,Lyon,322468,84,2005,2,1,1,3.2,low
123,Marseille,291958,80,2005,2,1,0,2.8,medium
124,Marseille,297055,77,2021,1,0,0,2.8,medium
125,Paris,826315,69,2011,2,1,0,3.8,medium
126,Paris,194427,25,2012,1,0,0,2.9000000000000004,medium
127,Marseille,521492,103,2016,2,0,0,3.8999999999999995,high
128,Lyon,307515,55,2017,1,0,0,3.2,medium
129,Paris,815320,68,2017,1,0,0,4.0,high
130,Marseille,603791,122,2010,3,1,0,3.8999999999999995,high
131,Marseille,406465,123,2012,2,1,1,3.3999999999999995,low
132,Paris,814296,56,2018,1,0,0,4.0,high
